mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.9437731901804606,0.3045458969191915,0.09243861834208171,0.025566837596697214,,3,200,"{'model__max_depth': None, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}",-0.48674790744456947,-0.4367346675526384,-0.43269547489032306,-0.4520593499625103,0.024583880687426295,1
0.6020700136820475,0.031256127043707116,0.15810179710388184,0.022533711218327885,16,3,200,"{'model__max_depth': 16, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}",-0.48676799435531914,-0.4367989655035247,-0.432937026875781,-0.4521679955782083,0.024516641681698162,2
0.7426903247833252,0.02455245758640806,0.10493763287862141,0.005283224560721799,16,1,200,"{'model__max_depth': 16, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",-0.4888405902297075,-0.4397848685686238,-0.42920994867312334,-0.4526118024904849,0.02597885073785082,3
0.7731288274129232,0.35434232714029645,0.34734439849853516,0.26839078932583665,,1,200,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",-0.48847667697607544,-0.43972412802399247,-0.43103582404476337,-0.4530788763482771,0.025280095905315086,4
0.3541554609934489,0.09747275911307601,0.37656744321187335,0.062357139762052656,16,3,100,"{'model__max_depth': 16, 'model__min_samples_leaf': 3, 'model__n_estimators': 100}",-0.48765207847906145,-0.4401967396116505,-0.4340025622929524,-0.4539504601278881,0.02396443570209788,5
0.5738805135091146,0.06250073512245853,0.1447152296702067,0.06845371885837721,,3,100,"{'model__max_depth': None, 'model__min_samples_leaf': 3, 'model__n_estimators': 100}",-0.487735674001835,-0.4399090386843439,-0.4342764496341323,-0.45397372077343706,0.02398379493462947,6
0.996107816696167,0.23852092323729712,0.3178183237711589,0.26500932134898175,,5,200,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}",-0.48781839163884805,-0.43665173521138817,-0.43975558892610683,-0.45474190525878105,0.023422908165706254,7
0.5316296418507894,0.01796414052923284,0.15156992276509604,0.04443778370590122,16,5,200,"{'model__max_depth': 16, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}",-0.4879153398011696,-0.4369405015751556,-0.4394296496106712,-0.45476183032899886,0.023465085513398636,8
0.2767854531606038,0.02248219287801063,0.2542065779368083,0.029346248875840707,16,5,100,"{'model__max_depth': 16, 'model__min_samples_leaf': 5, 'model__n_estimators': 100}",-0.4880985620079765,-0.43927792110830777,-0.44136035896828,-0.4562456140281881,0.022539474381811298,9
0.6477083365122477,0.2992370138750719,0.15698965390523276,0.0648545347399759,,5,100,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 100}",-0.48819550993070343,-0.4390691334152996,-0.4417044038524296,-0.45632301573281087,0.022562920575806437,10
