split,model,rmse_log,mae_log,r2_log,rmse_czk,mae_czk,r2_czk
random,random_forest,0.41261746062093835,0.2820293901286775,0.6003926451208037,7512.585033231074,1211.5987780326475,0.6957046971670551
random,gradient_boosting,0.4237515158446468,0.3046167097299189,0.5785356953020727,9358.091759390489,1452.9760271627667,0.5278379848587997
random,knn,0.44974584046402755,0.31301174179561714,0.5252416849336133,8549.736457757184,1351.246871685573,0.6058859631478322
random,ridge,0.49849413169439477,0.3451292811361,0.41674513590988105,13471.762221606494,1766.2004417736127,0.0214900078732998
neighbourhood,random_forest,0.504538712342099,0.3723515703314907,0.1864001261897421,9823.528884055006,1374.9936729887893,-15.792489419016686
neighbourhood,gradient_boosting,0.5100853922641915,0.37804389489711554,0.16841306697375036,8839.861615194013,1271.9829858253818,-12.597872450595627
neighbourhood,ridge,0.5222629499185546,0.40375235392601894,0.12823321405071553,2390.4907997540995,1020.4656637462265,0.005615872115788734
neighbourhood,knn,0.545039579034996,0.4027542343352325,0.05053717623739307,8840.860056957052,1338.5529064541915,-12.600944320057298
host,random_forest,0.49314834028426713,0.3497775320678938,0.3334118683927151,7837.229927558743,1285.3010682004203,0.019858439046596232
host,knn,0.5033066346898866,0.3664085142556415,0.305667112993824,7819.618207181435,1317.5412036186449,0.024258612019564363
host,gradient_boosting,0.5066684441577445,0.3541685499528641,0.29636061733882957,7850.420540707229,1297.4679537329407,0.01655636721430953
host,ridge,0.5130588830872507,0.3723244870523041,0.27849914842574874,7798.376705465788,1313.4388774303677,0.029552492383379647
